input_text,target_text
ebrtemu,bertemu
ksatuan,kesatuan
wqadat,adat
kmntal,mental
erturun,turun
wediserahkan,diserahkan
uiembali,kembali
pninggalan,peninggalan
qwelama,selama
empmerbaiki,memperbaiki
deiharapkan,diharapkan
wqaneh,aneh
ioperekonomian,perekonomian
eplaku,pelaku
iemikiran,pemikiran
eor,ekor
tgberperan,berperan
eluru,peluru
welambangkan,melambangkan
wbtina,betina
rgerak,gerak
qwuper,super
ekeor,rekor
unpggung,punggung
wbrfungsi,berfungsi
rtanpa,tanpa
grsenjata,bersenjata
yustimewa,istimewa
hngkasa,angkasa
wemnjalin,menjalin
oprkotaan,perkotaan
rerlibat,terlibat
uinatang,binatang
qanita,wanita
qambil,sambil
agdis,gadis
tig,big
nuik,unik
yunjil,injil
ipelajaran,pelajaran
opengamatan,pengamatan
ejnawarkan,menawarkan
amfili,famili
aonitia,panitia
ed,do
erbbicara,berbicara
iaca,dibaca
edo,do
epmain,pemain
ujayoritas,mayoritas
aabila,apabila
uaun,yuan
okmbinasi,kombinasi
wediterima,diterima
ukeuangan,keuangan
wmbayar,membayar
wwajiban,kewajiban
wek,bek
iabra,biara
rtangan,tangan
eubuhnya,tubuhnya
qrksasa,raksasa
maat,amat
dkumen,dokumen
ioelindung,pelindung
adftar,daftar
uitus,situs
ujmengurangi,mengurangi
tiual,ritual
ngkaran,lingkaran
glongan,golongan
qalrangan,larangan
wgitu,begitu
ipemilik,pemilik
tmbok,tembok
uian,iman
engakibatkan,mengakibatkan
wliansi,aliansi
umenit,menit
udberi,diberi
wsii,isi
iodato,pidato
edgunakan,digunakan
jmenghindari,menghindari
umengajar,mengajar
ikorea,korea
eblahan,belahan
encakup,mencakup
qdripada,daripada
recatat,tercatat
weata,data
ema,meja
wamai,damai
qwektor,sektor
tgaja,baja
qhlaman,halaman
opin,poin
qamkam,makam
hergi,energi
olvel,level
ujemasukkan,memasukkan
yhurung,burung
jmmperkuat,memperkuat
ijang,ajang
mjasakan,masakan
wemminta,meminta
mnyukai,menyukai
jelanggar,melanggar
qsaran,sasaran
gumi,bumi
saip,siap
ujusim,musim
elpaksana,pelaksana
yuik,unik
wrepublik,republik
trampaknya,tampaknya
skigen,oksigen
wijelaskan,dijelaskan
enpghargaan,penghargaan
qrden,raden
jenjadikan,menjadikan
wbagaimana,sebagaimana
edcina,cina
ergabung,tergabung
yjawab,jawab
poengikut,pengikut
erambut,rambut
yudus,kudus
iaan,akan
wmngajar,mengajar
reubahan,perubahan
fva,fa
wemngenakan,mengenakan
tgbelanda,belanda
ndakan,tindakan
gbudak,budak
wqaset,aset
daanya,adanya
oemah,lemah
rrhadap,terhadap
jwud,wujud
poloni,koloni
qaden,raden
ilstrik,listrik
ujmoyang,moyang
eihentikan,dihentikan
agrat,barat
brkumpul,berkumpul
wrena,arena
dring,sering
rsnapan,senapan
umodern,modern
wkibatnya,akibatnya
ahti,hati
rganda,ganda
uvestasi,investasi
utnung,gunung
jna,man
ahsil,hasil
yuuru,juru
uidmakan,dimakan
wpnyakit,penyakit
jnjabat,menjabat
emulai,dimulai
ecita,cita
tyara,utara
eunderal,jenderal
orus,lurus
yhttp,http
uionsep,konsep
iourus,lurus
erfinlandia,finlandia
tgermula,bermula
qsebab,sebab
quci,suci
hom,bom
brlanjut,berlanjut
uhat,jahat
qsalah,salah
prsatuan,persatuan
fiusi,difusi
ujmenahan,menahan
gunga,bunga
erteh,teh
ujahal,mahal
imnyak,minyak
wemahami,memahami
uierusakan,kerusakan
iaibatnya,akibatnya
oparlemen,parlemen
wejahatan,kejahatan
mraih,meraih
wserbia,serbia
eotnan,letnan
ngikut,pengikut
an,agen
lpruh,paruh
eristen,kristen
wlajar,pelajar
uantangan,tantangan
tlekomunikasi,telekomunikasi
uiebakaran,kebakaran
opdrd,dprd
ungkungan,lingkungan
wpeda,sepeda
reita,berita
wbrlanjut,berlanjut
emncetak,mencetak
ekerja,pekerja
rehari,sehari
eieologi,ideologi
mjisi,misi
ujmembebaskan,membebaskan
eridur,tidur
jmmbintangi,membintangi
percayaan,kepercayaan
rlsafat,filsafat
plimpiade,olimpiade
keat,dekat
kiomputer,komputer
brsifat,bersifat
wenjata,senjata
dratan,daratan
wrtulis,tertulis
wsikologi,psikologi
ioaporan,laporan
isni,sini
qwsakit,sakit
lpt,pt
wnerbit,penerbit
uiumumkan,diumumkan
wnnek,nenek
mksimum,maksimum
nyebutkan,menyebutkan
emnerima,menerima
ekalahan,kekalahan
wepnyanyi,penyanyi
gbdan,badan
dearipada,daripada
echina,china
wedera,cedera
trsuktur,struktur
wfat,wafat
ejrek,merek
uembutuhkan,membutuhkan
tgatis,gratis
amsyarakat,masyarakat
gursa,bursa
ujmenggambarkan,menggambarkan
tgeografis,geografis
ysaha,usaha
plonel,kolonel
iolongan,golongan
emnetapkan,menetapkan
aondasan,landasan
iski,fiksi
eras,rasi
enmit,menit
qakki,kaki
weater,teater
iknsep,konsep
mdrasah,madrasah
iesejahteraan,kesejahteraan
jru,juru
ertipe,tipe
ikomputer,komputer
lpsal,pasal
irngkat,tingkat
weuangan,ruangan
iabinet,kabinet
iendatang,pendatang
enpjelasan,penjelasan
prk,perak
wengikuti,mengikuti
ank,tank
oimia,kimia
yuinsinyur,insinyur
iar,akar
weglap,gelap
gbawang,bawang
aujud,wujud
rikut,berikut
akpar,pakar
wngawasan,pengawasan
ailayahnya,wilayahnya
trua,tua
ktober,oktober
wmrupakan,merupakan
ur,tur
kiuda,kuda
kmia,kimia
wentu,tentu
ikrakter,karakter
ianas,panas
erpimer,primer
ujencegah,mencegah
harah,marah
iopnsel,ponsel
akaian,pakaian
qamkanannya,makanannya
ita,kata
emmbentang,membentang
ailek,dialek
etv,tv
grbentuk,berbentuk
hstitut,institut
ongembangan,pengembangan
wdiberikan,diberikan
etransmisi,transmisi
atiran,tarian
yusus,khusus
etemannya,temannya
ikta,kota
weresmi,resmi
thadir,hadir
uortodoks,ortodoks
pnak,lunak
aat,ayat
umenyerupai,menyerupai
dgang,dagang
weraturan,peraturan
elbajar,belajar
edmulai,dimulai
ipekerjaan,pekerjaan
wengeri,negeri
an,ban
ndeks,indeks
bwh,bawah
iindah,pindah
ikigen,oksigen
ejmungkinkan,memungkinkan
yulmpur,lumpur
elur,telur
ebagai,sebagai
ipernyataan,pernyataan
wemreka,mereka
hnskah,naskah
erangka,rangka
lbel,label
bgurung,burung
ejmenangkan,memenangkan
qhti,hati
qamkna,makna
yuggur,gugur
onerbit,penerbit
wtrminal,terminal
qwseseorang,seseorang
reman,jerman
qsti,pasti
juslim,muslim
wsenjata,senjata
wsrial,serial
emspat,sempat
qawnita,wanita
jlan,jalan
kiuno,kuno
makai,memakai
hnimasi,animasi
bgantuan,bantuan
eoma,roma
wasiun,stasiun
idsebabkan,disebabkan
qisi,sisi
kman,makan
gbrkarier,berkarier
mpu,lampu
wepadatan,kepadatan
rtuduhan,tuduhan
ebutan,sebutan
awdah,wadah
iobskop,bioskop
qatis,artis
eterbentuk,terbentuk
ioerusahaan,perusahaan
tyhadapan,hadapan
usrkuit,sirkuit
eogawai,pegawai
qwempurna,sempurna
ujeter,meter
iominasikan,dinominasikan
ujmirip,mirip
opoandia,polandia
wpnganut,penganut
iglangan,bilangan
wtahun,setahun
negebor,mengebor
ioopuler,populer
nlg,long
uebakaran,kebakaran
mjengelola,mengelola
eprang,perang
upun,maupun
ohlawan,pahlawan
webelum,sebelum
wdengan,dengan
qwerbia,serbia
uistoris,historis
eorkiraan,perkiraan
oosisi,posisi
jnempati,menempati
wepnyerang,penyerang
neegaskan,menegaskan
qaib,wajib
ipenampilan,penampilan
weisebabkan,disebabkan
gka,angka
jengapa,mengapa
nigga,hingga
nstitut,institut
qaga,warga
uenurut,menurut
yhasil,hasil
wedimensi,dimensi
terfungsi,berfungsi
ppatform,platform
qsegmen,segmen
qatnaman,tanaman
ue,kue
lndasan,landasan
mjenetap,menetap
tyhantu,hantu
ujrnal,jurnal
ediberi,diberi
mndapat,mendapat
weserta,peserta
bgertemu,bertemu
qpris,paris
weprtama,pertama
wemnyusul,menyusul
emtan,teman
necoba,mencoba
ehailand,thailand
allt,lalat
qaap,atap
rhta,tahta
dradisional,tradisional
wemsin,mesin
prmanen,permanen
aik,irak
wbab,sebab
ioapangan,lapangan
gt,yg
opoen,polen
eir,seri
ratman,taman
qalaupun,walaupun
wpanjang,sepanjang
ibru,ribu
wmbeli,membeli
unfanteri,infanteri
iukul,pukul
dplomatik,diplomatik
jngka,jangka
trersebar,tersebar
ujmengganggu,mengganggu
rtrlalu,terlalu
gsar,besar
ioperserikatan,perserikatan
wal,real
bgatalyon,batalyon
wpneliti,peneliti
frika,afrika
gbarat,barat
rhasia,rahasia
kaek,kakek
gresif,agresif
operayaan,perayaan
reseorang,seseorang
qwehari,sehari
wsejumlah,sejumlah
elar,gelar
mlak,lemak
qfsilitas,fasilitas
agin,angin
iakistan,pakistan
ujmengingat,mengingat
hnata,mata
qakryanya,karyanya
ipolitik,politik
gragam,beragam
idalek,dialek
kbal,bakal
oolitik,politik
als,asal
tgberlanjut,berlanjut
wetrkenal,terkenal
umemiliki,memiliki
aqllah,allah
wbragama,beragama
gbmbang,bambang
ggulan,unggulan
qatta,tata
wtrhadap,terhadap
qpntai,pantai
ukaret,karet
qpisode,episode
weskarang,sekarang
bgila,bila
ngsa,bangsa
yantu,hantu
gbndar,bandar
ialestina,palestina
rtugis,portugis
okval,vokal
ngambil,mengambil
wbkerja,bekerja
ikedatangan,kedatangan
wemilihan,pemilihan
rqsitektur,arsitektur
uintang,bintang
eireta,kereta
wemngetahui,mengetahui
eeolusi,revolusi
luarga,keluarga
amtpak,tampak
rsseorang,seseorang
yuhjan,hujan
qanuari,januari
jngol,mongol
loam,kolam
ahtap,tahap
wurya,surya
qatngan,tangan
yinsinyur,insinyur
peemilikan,kepemilikan
opisi,puisi
jmetode,metode
ierdagangan,perdagangan
umaupun,maupun
jki,ki
yitalia,italia
ujmemproduksi,memproduksi
yoal,royal
fvarian,varian
uimensi,dimensi
webenaran,kebenaran
qanmun,namun
oia,pria
ekh,syekh
iuangan,keuangan
ndung,bandung
ersih,bersih
enjelajah,penjelajah
ejtro,metro
mdali,medali
ytranya,putranya
umia,kimia
hon,ion
wqgar,agar
tgbulan,bulan
engobatan,pengobatan
uikomponen,komponen
tggus,gugus
wepnting,penting
grkedudukan,berkedudukan
pmakaman,pemakaman
gsa,bisa
mber,sumber
aah,gajah
neangani,menangani
jrasa,merasa
etbina,betina
etluk,teluk
ioperlindungan,perlindungan
eoternakan,peternakan
wprsetujuan,persetujuan
iopikiran,pikiran
esdain,desain
qkanannya,makanannya
wesbenarnya,sebenarnya
kiebenaran,kebenaran
ikomotif,lokomotif
uark,irak
insgkat,singkat
edging,daging
ienyimpanan,penyimpanan
rthap,tahap
eonjaga,penjaga
tyumur,umur
eking,kering
mjusik,musik
tgbersamaan,bersamaan
yncak,puncak
qadmpak,dampak
weisiarkan,disiarkan
ipendeta,pendeta
rerpaksa,terpaksa
jenjawab,menjawab
jeala,gejala
iecah,pecah
okwan,kawan
uatan,lautan
esrupa,serupa
oletak,letak
uidangan,hidangan
epralatan,peralatan
uenyerupai,menyerupai
iolukisan,lukisan
wkspor,ekspor
gndera,bendera
renus,genus
ewdang,sedang
hni,juni
rthunnya,tahunnya
diur,tidur
jmmbatasi,membatasi
wlib,salib
wrusakan,kerusakan
ikloni,koloni
wsudah,sudah
thadapan,hadapan
wsejarah,sejarah
grat,barat
sbutan,sebutan
wssunan,susunan
wistem,sistem
ea,dewa
qakmpung,kampung
umenekankan,menekankan
weiharapkan,diharapkan
wemngenal,mengenal
eramili,famili
elamin,kelamin
bgerjudul,berjudul
oerbuatan,perbuatan
qun,daun
ampong,gampong
jnghubungkan,menghubungkan
wmangat,semangat
rgitar,gitar
qasdar,sadar
ihdupnya,hidupnya
aping,paling
ebrjuang,berjuang
weumput,rumput
ujmenemukan,menemukan
uitnggi,tinggi
yahan,bahan
jenjelang,menjelang
wemnjelang,menjelang
erpnyataan,pernyataan
wtrdiri,terdiri
embuka,membuka
wtelah,setelah
iksin,miskin
wngebor,mengebor
dchili,chili
wblakang,belakang
wqfrika,afrika
tgesar,besar
espat,pesat
okdang,kadang
tgerakhir,berakhir
ebrukuran,berukuran
bgerguna,berguna
rrkuensi,frekuensi
nhegatif,negatif
openyimpanan,penyimpanan
nhasi,nasi
wdulu,dulu
osir,pasir
egrgantung,bergantung
wespeda,sepeda
rertutup,tertutup
iaboratorium,laboratorium
pkmandan,komandan
tgangunan,bangunan
iooritas,otoritas
wesawat,pesawat
ank,naik
oimunis,komunis
pluru,peluru
unsa,nusa
omtif,motif
uiotanya,kotanya
ujengenakan,mengenakan
loatihan,latihan
tyujian,ujian
ujodal,modal
edemi,demi
qwra,era
guddha,buddha
uumpulan,kumpulan
oroduksi,produksi
tgberpikir,berpikir
uorps,korps
qwepeda,sepeda
vrus,virus
qupaya,supaya
egelar,digelar
esbanyak,sebanyak
oyanan,layanan
ebsi,besi
leanjutnya,selanjutnya
eplajar,pelajar
iptongan,potongan
aonas,panas
emjaat,jemaat
qwsetidaknya,setidaknya
iidsi,diisi
rgoanisasi,organisasi
ssialis,sosialis
okmpung,kampung
yindra,indra
hntu,hantu
wdik,adik
aqplikasi,aplikasi
istrik,listrik
rtrbanyak,terbanyak
uaura,juara
uikerangka,kerangka
iedit,kredit
uiontrak,kontrak
weusun,dusun
ksih,kasih
jengatakan,mengatakan
qwli,wali
eijadian,kejadian
ynga,bunga
opembaca,pembaca
ipertumbuhan,pertumbuhan
wgal,tegal
iara,biara
mjembuktikan,membuktikan
qapnggilan,panggilan
ika,kita
ioaki,laki
iertemuan,pertemuan
tilangan,bilangan
iak,pihak
eiadakan,diadakan
ejmperkuat,memperkuat
nerapkan,menerapkan
uiambing,kambing
ngkah,langkah
ioprosedur,prosedur
epang,perang
trercatat,tercatat
ayhap,tahap
elepaskan,melepaskan
swultan,sultan
deua,dua
yliah,kuliah
upser,super
jembeli,membeli
elakukan,dilakukan
ytpis,tipis
caa,kaca
wbrpori,berpori
uembangun,membangun
ujeski,meski
werupa,serupa
wenjawab,menjawab
errbuka,terbuka
wdimainkan,dimainkan
wekerjaan,pekerjaan
opkul,pukul
meenanjung,semenanjung
wemnambahkan,menambahkan
alwn,lawan
arptikel,partikel
yuamur,jamur
iperairan,perairan
dcantik,cantik
umenghabiskan,menghabiskan
wrikanan,perikanan
yngan,tangan
opmbagian,pembagian
uiswa,siswa
yelikopter,helikopter
rsnang,senang
repeda,sepeda
reusakan,kerusakan
wetrdaftar,terdaftar
erur,tur
qrsa,rasa
jmqs,mas
ematian,kematian
bgerdekatan,berdekatan
wsekali,sekali
ebrpusat,berpusat
edpat,dapat
weblahan,belahan
uissa,sisa
aqlternatif,alternatif
oskong,kosong
wendaraan,kendaraan
ytra,putra
ujmemanfaatkan,memanfaatkan
tfngsi,fungsi
qsapi,sapi
tyarus,harus
bgervariasi,bervariasi
alhnya,halnya
wrgi,pergi
yubmi,bumi
kputusan,keputusan
uotera,putera
brjumlah,berjumlah
jmeneruskan,meneruskan
leatan,selatan
ueahlian,keahlian
poemekaran,pemekaran
isar,kaisar
umenyebabkan,menyebabkan
jnyerap,menyerap
wdamai,damai
ukalifikasi,kualifikasi
rkolah,sekolah
qsel,sel
bgenar,benar
hnaa,nada
wemter,meter
oeektron,elektron
wolusi,solusi
meatiannya,kematiannya
soial,sosial
iadipaten,kadipaten
enmghabiskan,menghabiskan
wia,dia
antal,natal
uisebut,disebut
ikkaisaran,kekaisaran
uiroasia,kroasia
olhat,lihat
tlombang,gelombang
ebrmula,bermula
mc,cm
aaptasi,adaptasi
qaugng,agung
yucing,kucing
ttus,status
rtaikel,artikel
werepublik,republik
ielayanan,pelayanan
esat,serat
asmjid,masjid
jmupun,maupun
repusat,berpusat
iakek,kakek
wasteroid,asteroid
erosedur,prosedur
qiklus,siklus
enambah,menambah
trtutup,tertutup
wqaplikasi,aplikasi
ed,d
tgaustus,agustus
zangat,sangat
ij,ji
augung,jagung
enpggunaan,penggunaan
werserikatan,perserikatan
amkpus,kampus
jmengingat,mengingat
opnggemar,penggemar
opun,pun
kbar,bakar
gbhkan,bahkan
wemangat,semangat
et,rt
wanta,santa
enmyadari,menyadari
mngembangkan,mengembangkan
uvdeo,video
wrfokus,berfokus
wetluk,teluk
mapuran,campuran
icok,cocok
rvolusi,revolusi
dciri,ciri
wskses,sukses
umenempati,menempati
opmimpin,pemimpin
rtimor,timor
wenambahkan,menambahkan
neyawa,senyawa
anjgan,jangan
julanya,mulanya
imudian,kemudian
ntrak,kontrak
ujmenentukan,menentukan
hemang,memang
qsitektur,arsitektur
grusaha,berusaha
weiangkat,diangkat
utunjuk,ditunjuk
openganut,penganut
sikologi,psikologi
uiorbit,orbit
ecoklat,coklat
ihdukum,dihukum
wantara,antara
ikami,kami
ubatan,jabatan
eapng,jepang
kiaryanya,karyanya
ertelepon,telepon
ujmenyebabkan,menyebabkan
jencegah,mencegah
qakbupaten,kabupaten
ilume,volume
jengundurkan,mengundurkan
ehnek,nenek
erkiraan,perkiraan
iksong,kosong
wrategi,strategi
tbegonia,begonia
brukuran,berukuran
wmiliki,memiliki
rtahunnya,tahunnya
rangan,larangan
ioapisan,lapisan
djelaskan,dijelaskan
uipe,tipe
aret,maret
ukonvensi,konvensi
hnasib,nasib
qaerah,daerah
uka,ka
jmmbayar,membayar
gnyi,bunyi
wsepuluh,sepuluh
gnua,benua
enari,penari
qabgaimanapun,bagaimanapun
ikeju,keju
qajringan,jaringan
trdiri,terdiri
uinahasa,minahasa
qesuai,sesuai
ynegara,negara
tyempa,gempa
rsrupa,serupa
reperan,berperan
enmgoperasikan,mengoperasikan
qweni,seni
weditambahkan,ditambahkan
ujahkota,mahkota
aehulu,dahulu
etruk,truk
qar,air
sadaran,kesadaran
eiket,tiket
wksekutif,eksekutif
uknjungan,kunjungan
jaa,raja
akmu,kamu
opil,sipil
erfrekuensi,frekuensi
gukunya,bukunya
rsonel,personel
juepara,jepara
opmberontakan,pemberontakan
nydangan,undangan
gnar,benar
uitot,otot
mje,me
prayaan,perayaan
nemang,memang
qtolik,katolik
webrupa,berupa
usiden,insiden
welepon,telepon
jmnggantikan,menggantikan
gersama,bersama
ynformasi,informasi
ikran,koran
wetal,metal
iopita,pita
rtunung,gunung
qadangan,cadangan
edisusun,disusun
esnat,senat
wedulu,dulu
ejngawali,mengawali
wktar,nektar
koomotif,lokomotif
umerekam,merekam
htaan,tahan
ajsuk,masuk
yujanuari,januari
retengah,setengah
oenganut,penganut
erairan,perairan
ordagangan,perdagangan
ertahunan,tahunan
wengakui,mengakui
edibuat,dibuat
ementerian,kementerian
werisiko,risiko
errsisa,tersisa
wsbuah,sebuah
eqngka,rangka
olgi,lagi
ikrakteristik,karakteristik
yutkang,tukang
gbragama,beragama
uterima,diterima
oiskin,miskin
uete,rute
weivisi,divisi
tatan,catatan
qakek,kakek
yni,uni
wrtunjukan,pertunjukan
pleh,oleh
uadara,saudara
naklukkan,menaklukkan
nwam,enam
eterinspirasi,terinspirasi
jmbawa,membawa
igur,gugur
btina,betina
edilihat,dilihat
eenaran,kebenaran
ewsama,sesama
qpis,lapis
iredit,kredit
hasi,nasi
eterbakar,terbakar
oso,pos
jhammad,muhammad
ilan,iklan
aita,kata
ita,kita
yharapan,harapan
wngundurkan,mengundurkan
wetmbok,tembok
ujmenaklukkan,menaklukkan
ims,misi
wsejauh,sejauh
porogram,program
oirps,korps
rolume,volume
weuju,setuju
aqlbum,album
oartai,partai
qaknya,anaknya
dterjemahkan,diterjemahkan
uikuti,diikuti
impung,kampung
iirik,lirik
ayti,hati
jamp,mampu
rni,murni
erpfilman,perfilman
rugus,gugus
ylnak,lunak
webrgantung,bergantung
nani,yunani
opngakuan,pengakuan
qsering,sering
gnung,gunung
yujangka,jangka
wslo,solo
eilantik,dilantik
weipaksa,dipaksa
uisika,fisika
hani,bani
uembentang,membentang
kmenterian,kementerian
weori,teori
etertarik,tertarik
uwper,super
wrtindak,bertindak
ukaya,kaya
remangat,semangat
wkuu,suku
usl,usul
rooyek,proyek
yman,taman
stitut,institut
ngatakan,mengatakan
opmuda,pemuda
wdinas,dinas
operaturan,peraturan
opercaya,percaya
ertempur,tempur
uokul,pukul
tji,jati
wipilih,dipilih
wrserikatan,perserikatan
tyadapan,hadapan
aesar,dasar
rtlet,atlet
istribusi,distribusi
cdadangan,cadangan
qwsebutan,sebutan
iorde,orde
uakak,kakak
osat,pusat
negundurkan,mengundurkan
ikeluar,keluar
wlaki,lelaki
uiarier,karier
uisusun,disusun
iasangan,pasangan
atrik,tarik
wepternakan,peternakan
iembinaan,pembinaan
kiambing,kambing
iparuh,paruh
wmnghormati,menghormati
tbebas,bebas
aproki,paroki
tgerbasis,berbasis
yuideologi,ideologi
ujmulia,mulia
gbnar,benar
qaal,awal
mandang,memandang
gasis,basis
ioputri,putri
mmicu,memicu
ijntan,jantan
ranggal,tanggal
kqses,akses
rrsendiri,tersendiri
wknaikan,kenaikan
ujelarikan,melarikan
wejuaraan,kejuaraan
seal,real
osfil,fosil
ugun,gurun
egbas,bebas
deemokrat,demokrat
rrata,rata
ii,ini
uitayangkan,ditayangkan
wmi,mei
ujembedakan,membedakan
uah,mudah
uateri,materi
grawal,berawal
poenyiaran,penyiaran
ietarik,ditarik
iengurus,pengurus
uielas,kelas
qbnten,banten
yisu,isu
ualus,paulus
olahir,lahir
thalaman,halaman
qwsulit,sulit
wemnginginkan,menginginkan
edperlukan,diperlukan
werp,rp
wedinasti,dinasti
utu,itu
tyilir,hilir
ioperempuan,perempuan
urksi,kursi
nminasi,nominasi
tbabak,babak
qrtusan,ratusan
ocntoh,contoh
wserang,serang
ndgin,dingin
qnas,panas
hir,lahir
wnior,senior
ektnik,teknik
uikamera,kamera
kinginan,keinginan
eilsuf,filsuf
uplang,pulang
ujm,mm
esawat,pesawat
ltak,letak
uwci,suci
ujenderita,menderita
nedudukan,pendudukan
mjencegah,mencegah
wktiga,ketiga
ekbebasan,kebebasan
wsusu,susu
edjadikan,dijadikan
umemutuskan,memutuskan
ijdadikan,dijadikan
iuluhan,puluhan
aicr,cair
iromosi,promosi
ayrta,harta
deipisahkan,dipisahkan
eokoh,tokoh
iegantikan,digantikan
gbrulang,berulang
terlanjut,berlanjut
wlalui,melalui
tursa,bursa
omrbongan,rombongan
prairan,perairan
gerkas,berkas
ilve,love
imbongan,rombongan
rtodoks,ortodoks
iopenganut,penganut
uwdah,sudah
ujenekankan,menekankan
qws,es
ioertarungan,pertarungan
thaan,tahan
negikuti,mengikuti
erfifa,fifa
yualsan,ulasan
ujinuman,minuman
mperkenalkan,memperkenalkan
wekspor,ekspor
wemmbuat,membuat
qwrtawan,wartawan
prbatasan,perbatasan
wrunggu,perunggu
werbit,terbit
eprasional,operasional
tyalus,halus
asmter,master
bju,baju
kistan,pakistan
yenda,benda
graesif,agresif
kat,kuat
kmunikasi,komunikasi
ertropis,tropis
ijntung,jantung
eumbatan,jembatan
yhnektar,nektar
ypncak,puncak
mnjawab,menjawab
wombongan,rombongan
uau,mau
cdita,cita
etnggelam,tenggelam
kielola,dikelola
ukomite,komite
egrmarkas,bermarkas
weitemukan,ditemukan
rdi,diri
juanuari,januari
ioerunggu,perunggu
emimnta,meminta
wenyampaikan,menyampaikan
ylai,mulai
bli,bali
pmekaran,pemekaran
hlai,nilai
tbertemu,bertemu
enggemar,penggemar
espat,sempat
mproduksi,memproduksi
reusia,rusia
ujelancarkan,melancarkan
htang,batang
sarna,warna
usltan,sultan
ieagamaan,keagamaan
wepperangan,peperangan
ewrta,serta
jncakup,mencakup
iesalahan,kesalahan
tgersaing,bersaing
wekasi,bekasi
woktor,doktor
erimbul,timbul
anbgsa,bangsa
naak,anak
qub,abu
wesgala,segala
binu,ibnu
baot,obat
ikmbali,kembali
tgberbagai,berbagai
edusun,dusun
ukhalifah,khalifah
rgeografis,geografis
jmempersiapkan,mempersiapkan
rtpi,tapi
uieahlian,keahlian
